Area_Name,Auto_Theft_Stolen,CPA_Cases_Registered,Victims_Total,Cases_Property_Stolen,Rape_Cases_Reported
Punjab,1110.0,4562.0,3.0,11230,0.0
Rajasthan,6574.0,354.0,604.0,14771,7.0
Sikkim,3.0,0.0,50.0,70,6.0
Tamil Nadu,2545.0,16.0,899.0,203,0.0
Tripura,51.0,0.0,77.0,424,6.0
Uttar Pradesh,7579.0,3.0,647.0,118,4.0
Uttarakhand,418.0,45.0,2.0,3073,0.0
West Bengal,1954.0,3.0,830.0,86,4.0
Andaman & Nicobar Islands,10.0,144.0,1.0,2616,3.0
Andhra Pradesh,6993.0,84.0,103.0,4951,0.0
Arunachal Pradesh,43.0,3.0,637.0,83,3.0
Assam,1255.0,141.0,6.0,3717,0.0
Bihar,2445.0,23.0,363.0,193,0.0
Chandigarh,662.0,1693.0,4.0,3869,0.0
Chhattisgarh,1645.0,9.0,0.0,508,0.0
Dadra & Nagar Haveli,8.0,17.0,116.0,399,0.0
Daman & Diu,24.0,15.0,20.0,78,0.0
Delhi,5936.0,129.0,340.0,8219,5.0
Goa,213.0,0.0,185.0,245,0.0
Gujarat,8976.0,12.0,36.0,3147,5.0
Haryana,5779.0,27.0,30.0,3414,1.0
Himachal Pradesh,153.0,0.0,266.0,257,0.0
Jammu & Kashmir,430.0,413.0,624.0,4112,1.0
Jharkhand,2156.0,0.0,128.0,49,2.0
Karnataka,7552.0,0.0,1.0,45,0.0
Kerala,1329.0,93.0,516.0,1926,2.0
Lakshadweep,1.0,11.0,1049.0,291,3.0
Madhya Pradesh,10088.0,246.0,19.0,4932,0.0
Maharashtra,13589.0,42.0,15.0,4249,3.0
Manipur,232.0,8.0,2.0,872,1.0
Meghalaya,47.0,40.0,6.0,1332,0.0
Mizoram,25.0,1.0,545.0,1375,1.0
Nagaland,121.0,77.0,8.0,6258,0.0
Odisha,1771.0,132.0,219.0,3533,0.0
Puducherry,418.0,0.0,287.0,3,0.0
Punjab,1307.0,23.0,3.0,11072,1.0
Rajasthan,7837.0,373.0,624.0,15170,0.0
Sikkim,1.0,1.0,63.0,76,1.0
Tamil Nadu,3424.0,6.0,840.0,166,1.0
Tripura,54.0,0.0,48.0,337,0.0
Uttar Pradesh,8419.0,3.0,250.0,120,1.0
Uttarakhand,506.0,41.0,8.0,3064,381.0
West Bengal,2158.0,5.0,800.0,90,9.0
Andaman & Nicobar Islands,9.0,477.0,1.0,2621,372.0
Andhra Pradesh,7244.0,66.0,97.0,4526,403.0
Arunachal Pradesh,83.0,0.0,672.0,81,32.0
Assam,1135.0,124.0,3.0,3849,371.0
Bihar,3200.0,23.0,326.0,218,490.0
Chandigarh,648.0,3008.0,6.0,4142,21.0
Chhattisgarh,1882.0,12.0,1.0,376,469.0
Dadra & Nagar Haveli,10.0,37.0,126.0,462,551.0
Daman & Diu,27.0,15.0,31.0,86,16.0
Delhi,7843.0,128.0,325.0,7702,535.0
Goa,310.0,0.0,221.0,201,658.0
Gujarat,9821.0,9.0,39.0,3149,32.0
Haryana,6070.0,38.0,46.0,3566,626.0
Himachal Pradesh,129.0,0.0,201.0,241,623.0
Jammu & Kashmir,362.0,68.0,679.0,3975,26.0
Jharkhand,2168.0,0.0,109.0,43,597.0
Karnataka,9724.0,0.0,625.0,33,598.0
Kerala,1498.0,69.0,1000.0,1733,18.0
Lakshadweep,1.0,9.0,18.0,283,580.0
Madhya Pradesh,9826.0,352.0,22.0,4385,466.0
Maharashtra,14723.0,167.0,3.0,4077,37.0
Manipur,253.0,10.0,9.0,779,429.0
Meghalaya,99.0,39.0,460.0,1550,469.0
Mizoram,33.0,1060.0,10.0,1392,19.0
Nagaland,83.0,76.0,203.0,6629,450.0
Odisha,2081.0,81.0,328.0,3301,507.0
Puducherry,487.0,0.0,6.0,1,21.0
Punjab,1746.0,4014.0,587.0,10661,486.0
Rajasthan,9787.0,323.0,57.0,15145,12.0
Sikkim,1.0,1.0,955.0,68,0.0
Tamil Nadu,4865.0,3.0,51.0,135,12.0
Tripura,63.0,12.0,693.0,381,12.0
Uttar Pradesh,11181.0,6.0,5.0,82,0.0
Uttarakhand,556.0,192.0,624.0,2937,12.0
West Bengal,3034.0,2.0,2.0,71,31.0
Andaman & Nicobar Islands,21.0,69.0,86.0,2507,0.0
Andhra Pradesh,6116.0,161.0,662.0,5022,31.0
Arunachal Pradesh,133.0,23.0,2.0,93,37.0
Assam,458.0,111.0,357.0,4221,1.0
Bihar,3575.0,5.0,1.0,230,36.0
Chandigarh,536.0,7912.0,119.0,4084,20.0
Chhattisgarh,1848.0,14.0,7.0,276,1.0
Dadra & Nagar Haveli,23.0,6.0,268.0,329,19.0
Daman & Diu,25.0,24.0,213.0,80,21.0
Delhi,9085.0,112.0,28.0,8126,1.0
Goa,337.0,0.0,30.0,211,20.0
Gujarat,8403.0,9.0,256.0,3458,20.0
Haryana,8687.0,37.0,731.0,3437,1.0
Himachal Pradesh,137.0,0.0,126.0,236,19.0
Jammu & Kashmir,510.0,29.0,551.0,3711,30.0
Jharkhand,2268.0,0.0,1047.0,25,0.0
Karnataka,9001.0,0.0,19.0,27,30.0
Kerala,1142.0,58.0,11.0,1502,47.0
Madhya Pradesh,10870.0,8.0,8.0,344,1.0
Maharashtra,15126.0,274.0,5.0,3850,46.0
Manipur,236.0,40.0,536.0,4445,36.0
Meghalaya,99.0,17.0,4.0,743,2.0
Mizoram,38.0,79.0,242.0,1385,34.0
Nagaland,140.0,8.0,306.0,1357,286.0
Odisha,2250.0,81.0,8.0,6059,2.0
Puducherry,371.0,118.0,629.0,2468,284.0
Punjab,1572.0,0.0,63.0,3,267.0
Rajasthan,11199.0,30.0,859.0,9897,10.0
Sikkim,6.0,413.0,44.0,15724,257.0
Tamil Nadu,4791.0,0.0,893.0,66,236.0
Tripura,43.0,5.0,7.0,154,7.0
Uttar Pradesh,13168.0,2.0,2176.0,425,229.0
Uttarakhand,727.0,7.0,67.0,62,339.0
West Bengal,3539.0,30.0,1228.0,2855,14.0
Andhra Pradesh,309.0,4.0,3277.0,72,325.0
Arunachal Pradesh,9.0,36.0,10.0,2660,324.0
Assam,15.0,193.0,1108.0,4454,19.0
Bihar,175.0,0.0,3.0,72,305.0
Chandigarh,206.0,107.0,422.0,4715,354.0
Chhattisgarh,105.0,28.0,24.0,217,16.0
Dadra & Nagar Haveli,2.0,8701.0,917.0,4073,338.0
Delhi,4075.0,15.0,675.0,294,316.0
Goa,23.0,5.0,83.0,388,3.0
Gujarat,460.0,,1225.0,10,313.0
Haryana,843.0,,1216.0,316,374.0
Himachal Pradesh,87.0,,1101.0,41,4.0
Jammu & Kashmir,169.0,,333.0,374,370.0
Jharkhand,16.0,,1803.0,922,433.0
Karnataka,597.0,,1882.0,26,18.0
Kerala,499.0,,225.0,147,415.0
Madhya Pradesh,289.0,,163.0,13,408.0
Maharashtra,1960.0,,19.0,5,4.0
Manipur,6.0,,107.0,479,404.0
Meghalaya,20.0,,745.0,20,398.0
Mizoram,5.0,,15.0,1348,0.0
Nagaland,64.0,,584.0,530,398.0
Odisha,43.0,,1027.0,59,361.0
Puducherry,3.0,,13.0,82,52.0
Punjab,502.0,,1137.0,153,309.0
Rajasthan,570.0,,231.0,427,353.0
Sikkim,4.0,,6857.0,279,14.0
Tamil Nadu,197.0,,271.0,1,339.0
Uttar Pradesh,1565.0,,1315.0,481,386.0
Uttarakhand,132.0,,10.0,1436,20.0
West Bengal,499.0,,1989.0,33,366.0
Andhra Pradesh,190.0,,57.0,19,461.0
Arunachal Pradesh,2.0,,1142.0,22,15.0
Assam,22.0,,3434.0,3,446.0
Bihar,122.0,,22.0,224,608.0
Chandigarh,286.0,,616.0,5,10.0
Chhattisgarh,128.0,,10.0,368,598.0
Dadra & Nagar Haveli,6.0,,6.0,626,488.0
Daman & Diu,4.0,,411.0,1,3.0
Delhi,3632.0,,24.0,313,485.0
Goa,8.0,,1733.0,4,631.0
Gujarat,565.0,,655.0,991,8.0
Haryana,780.0,,98.0,171,623.0
Himachal Pradesh,67.0,,1144.0,486,603.0
Jammu & Kashmir,308.0,,1182.0,4,12.0
Jharkhand,104.0,,1109.0,382,591.0
Karnataka,523.0,,299.0,23,720.0
Kerala,623.0,,1858.0,558,15.0
Madhya Pradesh,318.0,,2025.0,1214,705.0
Maharashtra,1931.0,,208.0,35,124.0
Manipur,16.0,,159.0,92,0.0
Meghalaya,20.0,,20.0,12,124.0
Mizoram,11.0,,105.0,5,137.0
Nagaland,50.0,,802.0,444,1.0
Odisha,45.0,,20.0,16,136.0
Puducherry,5.0,,631.0,1188,126.0
Punjab,477.0,,1063.0,524,2.0
Rajasthan,594.0,,13.0,67,124.0
Sikkim,5.0,,1269.0,91,153.0
Tamil Nadu,158.0,,189.0,333,8.0
Tripura,1.0,,6085.0,393,145.0
Uttar Pradesh,1385.0,,268.0,252,141.0
Uttarakhand,97.0,,1181.0,0,5.0
West Bengal,586.0,,12.0,507,136.0
Andaman & Nicobar Islands,1.0,,2177.0,1392,113.0
Andhra Pradesh,366.0,,77.0,28,7.0
Arunachal Pradesh,1.0,,1088.0,8,106.0
Assam,210.0,,3379.0,26,159.0
Bihar,118.0,,15.0,10,2.0
Chandigarh,284.0,,581.0,202,157.0
Chhattisgarh,101.0,,8.0,11,157.0
Dadra & Nagar Haveli,4.0,,6.0,373,1.0
Daman & Diu,1.0,,371.0,383,156.0
Delhi,3626.0,,20.0,1,183.0
Goa,8.0,,808.0,82,10.0
Gujarat,661.0,,597.0,12,173.0
Haryana,784.0,,96.0,262,160.0
Himachal Pradesh,92.0,,1013.0,0,7.0
Jammu & Kashmir,206.0,,1086.0,451,153.0
Jharkhand,191.0,,1051.0,3,169.0
Karnataka,351.0,,309.0,296,2.0
Kerala,512.0,,1773.0,28,167.0
Madhya Pradesh,714.0,,1955.0,611,192.0
Maharashtra,1855.0,,174.0,1096,3.0
Manipur,13.0,,165.0,32,189.0
Meghalaya,61.0,,37.0,70,211.0
Mizoram,20.0,,85.0,8,2.0
Nagaland,15.0,,769.0,7,209.0
Odisha,66.0,,22.0,431,218.0
Puducherry,7.0,,594.0,43,1.0
Punjab,457.0,,1013.0,1545,217.0
Rajasthan,665.0,,10.0,518,201.0
Sikkim,3.0,,1111.0,43,0.0
Tamil Nadu,166.0,,231.0,116,201.0
Tripura,1.0,,4285.0,265,250.0
Uttar Pradesh,1162.0,,231.0,438,0.0
Uttarakhand,80.0,,1167.0,229,250.0
West Bengal,392.0,,10.0,0,288.0
Andhra Pradesh,414.0,,1985.0,393,0.0
Arunachal Pradesh,0.0,,65.0,1488,288.0
Assam,249.0,,1130.0,16,219.0
Bihar,185.0,,3523.0,11,0.0
Chandigarh,289.0,,14.0,19,219.0
Chhattisgarh,56.0,,658.0,3,237.0
Dadra & Nagar Haveli,5.0,,9.0,210,4.0
Daman & Diu,2.0,,2.0,12,233.0
Delhi,3850.0,,385.0,343,245.0
Goa,9.0,,25.0,85,0.0
Gujarat,596.0,,829.0,5,245.0
Haryana,929.0,,583.0,307,567.0
Himachal Pradesh,108.0,,85.0,3,12.0
Jammu & Kashmir,179.0,,882.0,143,555.0
Jharkhand,104.0,,1089.0,0,797.0
Karnataka,872.0,,1006.0,378,18.0
Kerala,437.0,,290.0,0,779.0
Madhya Pradesh,484.0,,1886.0,353,712.0
Maharashtra,2136.0,,1773.0,26,14.0
Manipur,2.0,,178.0,586,698.0
Meghalaya,91.0,,149.0,1696,797.0
Mizoram,0.0,,31.0,23,18.0
Nagaland,49.0,,56.0,84,779.0
Odisha,21.0,,780.0,12,753.0
Puducherry,4.0,,22.0,3,120.0
Punjab,440.0,,608.0,445,633.0
Rajasthan,859.0,,1005.0,34,799.0
Sikkim,3.0,,13.0,1419,94.0
Tamil Nadu,128.0,,1051.0,466,705.0
Tripura,4.0,,182.0,84,855.0
Uttar Pradesh,1793.0,,5264.0,105,0.0
Uttarakhand,74.0,,220.0,333,855.0
West Bengal,250.0,,1008.0,354,791.0
Andhra Pradesh,347.0,,11.0,236,12.0
Arunachal Pradesh,2.0,,2206.0,0,779.0
Assam,247.0,,80.0,424,719.0
Bihar,83.0,,1129.0,1371,22.0
Chandigarh,201.0,,3029.0,25,697.0
Chhattisgarh,83.0,,15.0,23,773.0
Dadra & Nagar Haveli,3.0,,727.0,0,11.0
Daman & Diu,4.0,,7.0,10,762.0
Delhi,3515.0,,5.0,249,293.0
Goa,31.0,,375.0,7,5.0
Gujarat,629.0,,35.0,311,288.0
Haryana,1142.0,,757.0,55,292.0
